"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"11377","New York","NY","New York","Queens",44,,,,,,,,,,,,,,,,1537.5,1700,1650,1550,1612.5,1650,1575,1562.5,1537.5,1550,1550,1650,1650,1600,1600,1650,1650,1650,1700,1700,1700,1695,1659,1700,1750,1750,1750,1750,1750,1750,1850,1800,1800,1850,1800,1825,1875,1875,1875,1871,1870,1900,1900,1920,1900,1900,1900,1900,1900,1950,1900,1875,1900,2000,1925,1950,1990,1975,1937.5,1875,1850,1800,1875,1900,1900,2012.5,2000,1997.5,2000,1950,1920
"60610","Chicago","IL","Chicago","Cook",45,,,,1517,1582,1467.5,1495,1495,1575,1645,1650,1645,1640,1645,1750,1707,1694.5,1715,1745,1732.5,1740,1750,1778,1975,1790,1775,1740,1855,1773,1745,1753,1747.5,1750,1735,1750,1735,1745,1699,1725,1731,1750,1783,1798,1748.5,1858.5,1900,1877.5,1875,2027.5,1944,1975,1795,1995,1895,1895,1830,1816.5,1850,1883.5,1875,1850,1850,1869,1800,1995,1807.5,1750,1781,2000,1990,1900,1890,1895,1800,1874,1897.5,1964,2064,2200,2000,1967.5,2000,2037.5,1972.5,1940,1870
"33025","Miramar","FL","Miami-Fort Lauderdale","Broward",46,,,,,,,,,,,,,,,1500,1500,1500,1450,1475,1485,1475,1500,1500,1450,1400,1450,1475,1500,1500,1495,1450,1450,1475,1375,1450,1400,1400,1400,1400,1425,1425,1450,1450,1537.5,1550,1450,1500,1425,1450,1450,1450,1500,1500,1480,1450,1495,1400,1425,1450,1387.5,1375,1400,1412.5,1500,1500,1550,1500,1450,1475,1450,1580,1500,1525,1550,1537.5,1600,1500,1587.5,1575,1595,1600,1600,1600,1600,1600,1600
"02169","Quincy","MA","Boston","Norfolk",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1500,1530,1525,1575,1516,1523,1500,1530,1500,1500,1500,1500,1500,1450,1492.5,1530,1600,1595,1595,1500,1516.5,1495,1550,1495,1550,1550,1550,1650,1700,1650,1750,1700,1800,1750,1750,1799,1762.5,1650,1800,1817,1675,1900,1750,1692.5,1665,1800,1721.5,1741,1650,1705,1750,1750,1795,1800,1800,1800
"11234","New York","NY","New York","Kings",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1875,1937.5,2000,2000,1875,1800,1800,1800,1899,1825,2100,2000,1848,1900,1800,1800,2000,2000,1900,1925,2000,1900,1900,1850,1837.5,2000,2000,2200,2100
"10453","New York","NY","New York","Bronx",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.5,1300,1300,1200,1250,1250,1250,1250,1250,1300,1350,1279,1279,1300,1300,1300,1300,1300,1295,1295,1295,1295,1400,1400,1412.5,1400,1475,1500,1500,1500,1497.5,1547.5,1472.5,1597.5,1550,1600,1499.5,1475,1550,1600,1500,1600,1650,1600,1600,1650,1600,1650,1650,1650,1600
"78745","Austin","TX","Austin","Travis",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1195,1204.5,1209,1200,1181,1195,1195,1250,1199,1200,1150
"11355","New York","NY","New York","Queens",51,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550,1525,1550,1549.5,1600,1650,1600,1650,1600,1650,1600,1600,1650,1650,1695,1650,1675,1700,1700,1737.5,1750,1750,1762.5,1750,1700,1950,2000,1975,2090,1825,2090,1950,1797.5,2000,1775,2025,1800,1850,1750,1750,1800,1800,1900,1900,1900,1925,1900
"60617","Chicago","IL","Chicago","Cook",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.5,950,885,912.5,950,950,950,900,900,900,805,875,875,805,875,950,950,950,875,900,950,975,1000,1000,1095,1000,1000,1000,1000,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1100,1100,1100,1000,1100,1100,1000,997.5,1097.5,1075,1022,1000,1000,1050,1044,1044,1044,1000,1044
"11215","New York","NY","New York","Kings",53,,,,,,1900,1990,2225,2225,2400,2325,2500,2225,2325,2300,2497.5,2395,2400,2500,2462.5,2500,2575,2500,2600,2700,2500,2600,2600,2600,2500,2500,2597.5,2600,2595,2597.5,2600,2577,2550,2500,2500,2500,2500,2550,2700,2750,2750,2750,2550,2700,2700,2700,2700,2700,2700,2800,2900,3000,2900,2850,2800,2800,2800,2750,2750,2700,2700,2700,2700,2750,2695,2750,2800,2900,2720,2700,2797.5,2750,2700,2700,2700,2783,2750,2785,2700,2700,2699
"60611","Chicago","IL","Chicago","Cook",54,,,,,,,,,,1830,1830,1850,1870,1907.5,1890,1870,1860,1845,2005,2065.5,2000,1970,1924,1950,1913,1890,1865,1895,1942,1913,1950,1965,2000,2025,1985,1928,1935,1885,1900,2025,2035,2150,2100,2185,2190,2233,2268,2210,2259,2310,2213,2198,2393,2378,2380,2421.5,2402,2378.5,2250.5,2504,2518,2576.5,2492,2490,2377,2236,2103.5,2354,2295.5,2169,2207,2095,2125,2085,2080,2095,2064,2200,2259,2173,2150,2252,2395,2227.5,2200,2174.5
"10452","New York","NY","New York","Bronx",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1525,1500,1525,1550,1500,1495,1525,1506,1525,1537.5,1662.5,1790,1795
"06010","Bristol","CT","Hartford","Hartford",56,,,,,,,,,,,,,,,,,,,,800,875,862.5,895,925,875,885,900,850,850,850,850,850,850,850,925,887.5,900,850,875,875,900,885,850,800,875,850,875,900,900,900,900,862.5,850,850,850,850,850,885,900,925,900,900,975,925,900,900,925,900,925,900,950,900,937.5,900,900,900,937.5,900,950,975,925,975,1000,1000,995,987.5
"33009","Hallandale","FL","Miami-Fort Lauderdale","Broward",57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1695,1500,1472.5,1650,1600,1600,1600,1500,1575,1575,1700,1750,1472.5,1575,1575,1625,1575,1325,1400,1600,1690,1700,1500,1612.5,1399,1400,1575,1500,1587.5,1600,1625,1700,1585,1622.5,1587.5,1850,1750,1773,1772.5,1675,1750,1797.5,1849.5,1900
"11211","New York","NY","New York","Kings",58,,,,,,,,,,,,,,2275,2395,2450,2525,2475,2550,2800,2860,3040,2895,2897.5,2850,2795,2700,2700,2800,2858.5,2899,2950,2995,3000,3000,3000,3000,3047.5,2950,2892.5,2900,2935,2995,3150,3200,3175,3196.5,3155,3150,3050,3000,2959,2900,2897,3000,3325,3325,3300,3299,3300,3150,3195,3195,3200,3199.5,2995,3000,3000,3000,2999.5,2950,3100,3250,3325,2900,2950,2900,2999,3000,3095,3063,3100,3093.5,3000,2950,2925
"11385","New York","NY","New York","Queens",59,,,,,,,,,,,,,,,,,,,,1550,1725,1800,1500,1450,1400,1400,1450,1500,1500,1500,1500,1500,1550,1600,1600,1650,1700,1800,1750,1700,1692,1650,1700,1799,1700,1797.5,1800,1800,1850,1850,1900,1900,1900,2100,2100,2200,2200,2225,2150,2172.5,2100,2200,2300,2200,2399.5,2400,2400,2300,2400,2400,2400,2500,2300,2250,2200,2200,2250,2300,2307,2340,2399,2399,2500,2495,2400,2350
"11373","New York","NY","New York","Queens",60,,,,,,,,,,,,,,,,,,,,,,,,1475,1400,1450,1450,1545,1437.5,1412.5,1425,1412.5,1450,1450,1467.5,1600,1600,1575,1600,1600,1600,1600,1600,1552.5,1597.5,1675,1615,1595,1695,1700,1700,1700,1695,1745,1750,1750,1750,1700,1750,1750,1750,1800,1850,1900,1935,1925,1900,1900,2000,2148,2228,1950,1917.5,1925,1700,1700,1950,1850,1900,1925,1825,1900,1827.5,1815,1810,1815
"10468","New York","NY","New York","Bronx",61,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,1200,1300,1350,1300,1300,1395,1300,1300,1300,1300,1275,1200,1245,1200,1200,1200,1225,1300,1275,1342.5,1345,1326,1300,1300,1350,1350,1300,1375,1400,1400,1404,1400,1425,1400,1450,1450,1425,1400,1400,1400,1380,1400,1500,1445,1495,1497.5,1475,1400,1450,1450,1475,1495,1499.5,1500,1550,1550,1600,1600,1600
"02148","Malden","MA","Boston","Middlesex",62,,,,,,,,,,,,,,,,,,,,1320,1300,1195,1150,1260,1456,1428,1400,1295,1375,1325,1295,1350,1350,1350,1400,1411,1452,1488,1450,1495,1495,1495,1500,1500,1500,1515,1575,1700,1795,1695,1750,1700,1550,1500,1700,1500,1550,1500,1650,1700,1750,1750,1700,1662.5,1600,1600,1600,1597.5,1595,1850,1684,1850,1900,1900,1850,1750,1800,1640,1700,1800,1807.5,1840,1854.5,1982.5,1983,1900
"10028","New York","NY","New York","New York",63,,,,2200,2300,2300,2350,2350,2350,2350,2395,2400,2437.5,2495,2425,2400,2400,2395,2395,2500,2500,2440,2495,2500,2597.5,2600,2550,2500,2495,2500,2550,2575,2590,2595,2550,2595,2650,2595,2595,2550,2575,2600,2600,2600,2650,2650,2595,2595,2600,2650,2625,2675,2650,2625,2700,2600,2637.5,2650,2695,2700,2699,2697,2600,2612.5,2625,2650,2650,2662.5,2600,2600,2595,2650,2600,2650,2600,2650,2700,2700,2650,2699,2745,2700,2700,2750,2630,2673.5
