"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54642857142857,4.6230975828111,4.54642857142857,4.7,4.65147921248298,4.66111111111111,4.66111111111111,4.58370098039216,4.71266233766234,4.59035195668225,4.59246861924686,4.60861992111266,4.58773430962343
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63870967741935,1.6375366568915,1.63787969029184,1.6987194758785,1.76282051282051,1.63636363636364,1.76785714285714,1.75,1.77142857142857,1.81110013175231,1.75,1.71464285714286,1.695,1.695,1.74719101123595,1.715,1.77211538461538,1.77350427350427,1.75,1.8,1.85185185185185,1.85714285714286,1.8,1.8,1.75,1.65653213610586,1.64156862745098,1.795,1.8225,1.9,1.89473684210526,1.875,1.88571428571429,1.88571428571429,1.85,1.8,1.78571428571429,1.79166666666667
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17655367231638,5.05548517384978,5.06785355564484,5.12401928734881,4.956,4.956,4.90801393728223,5.00219298245614,4.996875,5.14499532273152,5.26099985110185,5.13859649122807,5.12752805927863,5.1211228954256,5.08704057547488,5.00438596491228,4.93653032440056,4.9687789560383,5.00438596491228,5.06354711758855,5.14385057349418,5.09798298096811,4.94623655913978,4.93653032440056,4.95039100684262,4.59166666666667,4.95454545454545,4.94138344177017,4.90801393728223,4.90801393728223,4.90005960022006,4.89210526315789,4.90801393728223,4.9873395620989,4.94623655913978,5.00438596491228,4.95956873315364,4.92712524821101,4.90801393728223,4.91153573956122,5.13859649122807,5.1
"77494","Cinco Ranch","TX","Houston","Fort Bend",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25532011365697,1.22794117647059,1.22093023255814,1.24888093106535,1.41119528619529,1.30569948186528,1.31544041450777,1.30129194289205,1.30971337579618,1.33513149022252,1.27975113277026,1.27058322815463,1.25,1.24615384615385,1.29112662013958,1.24608150470219,1.2532154340836,1.24888093106535,1.28068592057762,1.320518444666,1.3331954295692,1.33000997008973,1.35899465891033,1.33659952821629,1.38588822796745
"75070","McKinney","TX","Dallas-Fort Worth","Collin",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13269794721408,1.1255230125523,1.13302397525135,1.13577568596689,1.11558666394846,1.12232428503206,1.1547811993517,1.1875,1.1586433531746,1.1875,1.16190476190476,1.18476654846336,1.15933696000299,1.15486725663717,1.13554502369668,1.12750263435195,1.13846153846154,1.14434170387895,1.16106194690265,1.15885916016351,1.16581196581197,1.18203309692671,1.21886633655276,1.16451551421819,1.15896828290193,1.13956378668651,1.14319433516916,1.11235216819974,1.15988909426987,1.17075213675214,1.10372036936973,1.125,1.17616956693005,1.13130417335474,1.12908150948838,1.12739056702868,1.13249594813614,1.13452188006483,1.25079305911619,1.26910656620022,1.2875,1.27031650983747,1.28802828823186,1.30984487145119,1.28632938643703,1.28632938643703,1.26480086114101
"60614","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.08333333333333,2.08484848484848,2.03072707343807,2.00956559419348,2.08521428571429,1.97926718092567,1.94144736842105,1.9125,1.95789473684211,1.90340909090909,1.995,1.99285714285714,1.89473684210526,1.95652173913043,1.99084764340519,1.90681818181818,1.9,1.995,1.92668776371308,1.795,2.00060642813827,2.07142857142857,2.03846153846154,1.995,2.02034990791897,1.96353436185133,1.9125,1.999,1.96139455782313,1.92235169491525,2.25,2,2,2,2.0073664825046,2.04733676975945,2.0073664825046,1.91923076923077,1.95121951219512,1.8331240188383,1.95436507936508,1.89194444444444,1.995,2.0625,2.08333333333333,2.10833333333333,2.01923076923077,2.00956937799043,1.98888888888889,2,1.92,1.96875
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06768916876761,1.04636292061753,1.08297589204323,1.07737785250123,1.07362534948742,1.09444418881533,0.977165354330709,1.07362534948742,0.9800796812749,1.06076759061834,1.00241591647912,0.978571428571429,1.04759405200184,1.07097933513028,1.06053240740741,1.07416666666667,1.05059231069477,1.08620944818888,1.1061872909699,1.10916666666667,1.1344583275164
"60640","Chicago","IL","Chicago","Cook",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38840909090909,1.395,1.4018691588785,1.36181818181818,1.375,1.29166666666667,1.47368421052632,1.50129533678756,1.48,1.5,1.5,1.46875,1.45454545454545,1.39685314685315,1.42372881355932,1.45,1.45,1.55050505050505,1.505,1.64790980908492,1.6,1.596,1.42857142857143,1.615,1.4125,1.35,1.36971411554497,1.4775,1.6,1.63461538461538,1.64078947368421,1.695,1.68181818181818,1.5937962962963,1.6,1.5304347826087,1.495,1.45553359683794
"94109","San Francisco","CA","San Francisco","San Francisco",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98936170212766,4.24242424242424,4.31654676258993,4.27158273381295,4.22727272727273,4.27215500327011,4.3027360988526,4.26096997690531,4.31818181818182,4.32480141218005,4.31736429038587,4.2570034881186,4.27158273381295,4.30947580645161,4.31654676258993,4.36257357750164,4.36151079136691,4.32809838050863,4.36151079136691,4.36363636363636,4.34397163120567,4.44444444444444,4.54090909090909,4.4040404040404,4.34792711285517,4.32480141218005,4.32692307692308,4.43864986237868,4.41860465116279,4.36363636363636,4.36363636363636,4.36363636363636,4.32149161518094,4.38181818181818,4.2946370176586,4.27272727272727,4.32480141218005,4.31736429038587,4.3964715536105,4.54136690647482,4.47931832289374,4.36151079136691,4.31654676258993,4.36151079136691,4.35,4.29177407126611,4.24621212121212,4.27158273381295,4.30577338129496,4.31818181818182
"10016","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84512285927029,4.96618061764908,4.87649769585253,4.87926267281106,4.92236352666453,4.87926267281106,4.78300592044268,4.8665821812596,4.87649769585253,4.98826897522082,5.01945525291829,4.98759689922481,4.96221198156682,4.99833333333333,4.95727272727273,4.92173017507724,4.96103896103896,4.93630797293529,4.83664839615001,4.88202764976959,4.93867573842619,4.88202764976959,4.91213700670141,4.84615384615385,4.72662492546213,4.86111111111111,4.88202764976959,4.83660130718954,4.88,4.80953168226256,4.96103896103896,4.96162547130289,4.96103896103896,5.03794972391747,4.97870749565649,5.0179182444785,5.05231037489102,5.03946388682055,4.96221198156682,4.89051094890511,4.77824620573356
