"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.75,1.71261755485893,1.75757575757576,1.77980668756531,1.61875,1.8,1.83125,1.88535353535354,1.86,1.8,1.7077380952381,1.695,1.65960144927536,1.7,1.70714285714286,1.75916666666667,1.8,1.80555555555556,1.88181818181818,1.95454545454545,1.93333333333333,1.87096774193548,1.80032733224223,1.81926573426573,1.79,1.82153846153846,1.864375,1.89520624303233,1.99375,1.99,1.96984848484848,1.99,1.96825396825397,1.88571428571429,1.84375,1.79,1.79
"60614","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06781609195402,2.1,2.07407407407407,2.04615384615385,2.03571428571429,1.9872813990461,2.32738095238095,2.33568413625786,2.2,2.35761589403974,2.11111111111111,2.09761904761905,2.1263775971093,2.14285714285714,2.2,2.14423916205994,2.07865168539326,2.07591120855029,1.99833333333333,2.0625,2.07865168539326,2.14485981308411,2.14285714285714,2.13333333333333,2.11764705882353,2.125,2.11651583710407,2.08333333333333,2.125,2.07547169811321,2.10240912933221
"94109","San Francisco","CA","San Francisco","San Francisco",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51879521750552,4.66666666666667,4.46969696969697,4.44074074074074,4.44444444444444,4.54632447887844,4.58762886597938,4.62189466221605,4.5644978862271,4.37062937062937,4.44388014220416,4.44444444444444,4.51815820071216,4.58793208004851,4.79807692307692,4.58823529411765,4.58548109965636,4.82456140350877,4.89788823074942,4.95750708215297,4.84685230024213,4.95750708215297,4.95750708215297,4.91468948107503,4.4975,4.63542096219931,4.99107142857143,4.91468948107503,4.69177570093458,4.77564102564103,4.82638888888889,4.73626373626374,4.66,4.36363636363636,4.36151079136691,4.44444444444444,4.53333333333333,4.4441622933243,4.5,4.66520833333333,4.77547619047619,4.75512170385396,4.55,4.83822115384615,4.60317930489731,4.63208762886598,4.63537710255019,4.67213114754098,4.86470581683306
"11375","New York","NY","New York","Queens",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40909090909091,2.395,2.36363636363636,2.4375,2.43561164333088,2.41788321167883,2.44444444444444,2.45454545454545,2.38888888888889,2.3448275862069,2.33333333333333,2.28571428571429,2.37761727837772,2.29431909750201,2.33333333333333,2.29705882352941,2.34313725490196,2.35714285714286,2.34313725490196,2.33333333333333,2.371875,2.375,2.38266666666667,2.43055555555556,2.42928571428571,2.375,2.4,2.43303571428571,2.45833333333333,2.41246212121212,2.44444444444444,2.45161290322581,2.46925625920471,2.46875,2.42424242424242,2.46666666666667
"60618","Chicago","IL","Chicago","Cook",5,,,,,,,,1.24117647058824,1.17692307692308,1.20535714285714,1.25598086124402,1.25,1.2,1.195,1.16903409090909,1.15504807692308,1.2,1.32352941176471,1.26785714285714,1.28571428571429,1.31447368421053,1.31315789473684,1.26712962962963,1.24375,1.325,1.109375,1.22222222222222,1.26090909090909,1.29223684210526,1.30769230769231,1.3,1.32647228637413,1.28392857142857,1.28392857142857,1.3,1.29,1.3,1.3,1.31742424242424,1.5,1.38888888888889,1.42857142857143,1.44646464646465,1.34285714285714,1.325,1.25,1.25394736842105,1.33333333333333,1.35714285714286,1.2,1.38888888888889,1.4,1.39565217391304,1.43650793650794,1.44,1.4,1.40208333333333,1.4,1.4,1.40625,1.4038257007007,1.46184210526316,1.476,1.44,1.46153846153846,1.55277777777778,1.52296181630547,1.5,1.472375,1.41666666666667,1.45,1.46333333333333,1.476,1.5,1.5,1.5,1.475,1.49375,1.45227272727273,1.44963768115942,1.41722222222222,1.40535714285714
"10029","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28165217977225,5.21246358718269,5.28165217977225,5.17567427102139,5.38000738616615,5.49019607843137,5.52558782849239,5.49019607843137,5.52558782849239,5.1698670605613,5.15463917525773,5.02599653379549,5.02599653379549,4.625,4.57559681697613,4.59823254455156,4.92124061178714,4.89417989417989,4.8,5.15463917525773
"11201","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64324324324324,4.54598709531356,4.55037919826652,4.60928381184155,4.66806575725778,4.71605691056911,4.58812260536398,4.60365853658537,4.46662561576355,4.43833499916708,4.59259259259259,4.45560128745585
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26159065209197,2.38566087148582,2.45032258064516,2.08636363636364,2.275,2.53902640264026,2.64410746239889,2.45326923076923,2.52941176470588,2.58235294117647,2.46659815005139,2.595,2.6871869216533,2.66,2.73916666666667,2.89826201641266,2.81807796164232,2.68969126111983,2.66758241758242
"20009","Washington","DC","Washington","District of Columbia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61111111111111,3.36666666666667,3.42857142857143,3.40714285714286,3.42142857142857,3.42142857142857,3.5,3.56428571428571,3.77777777777778,4.07142857142857,4.02439024390244,3.95612244897959,3.97745098039216,4.23529411764706,4.14162895927602,4.2,4.1656862745098,4.16666666666667,4.16333333333333,4.17178542178542,4.17705735660848,4.24615384615385,4.36882497470733,4.29544677013031,4.35335497835498,4.28842676311031,4.47692307692308,4.40361990950226,4.42241586538462,4.47692307692308,4.61,4.77104825291181,4.85764705882353,4.61818181818182,4.53846153846154,4.54916666666667,4.47692307692308,4.47692307692308,4.74209650582363,4.47692307692308,4.43076923076923,4.29579831932773,4.08834586466165,4.18865546218487,4.05238095238095,3.94557823129252,3.96666666666667,4.23177083333333,4.12081339712919,4.01904761904762,3.96666666666667
"60613","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65771715721464,1.65,1.65,1.5,1.58823529411765,1.63636363636364,1.69375,1.69795321637427,1.68798076923077,1.63157894736842,1.63571428571429,1.64375,1.65454545454545,1.72727272727273,1.77272727272727,1.699609375,1.7,1.72727272727273,1.78746980676329,1.78169642857143,1.74600087412587,1.69375,1.66333333333333,1.6875,1.68125,1.7037037037037,1.89087301587302,1.88888888888889,1.82777777777778,1.871875,1.82068965517241,1.82777777777778,1.72272727272727,1.67857142857143,1.6475,1.63894946725653
