"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11"
"92880","Eastvale","CA","Riverside","Riverside",1,0.672193591754425,0.692447600900745,0.696909214076118,0.713795241317231,0.695704779189353,0.711958475463137,0.708174472647135,0.720043845085728,0.707290533188248,0.699558173784978,0.702007375403561,0.709639266706091,0.693877551020408,0.689958896065766,0.695284159613059,0.683229813664596,0.67809325084036,0.698191861725262,0.714285714285714,0.695708401323543,0.700934579439252,0.688991000450251,0.689958896065766,0.687125748502994,0.68848561155834,0.693877551020408,0.692425497378998,0.692307692307692,0.701096746602289,0.69697794718214,0.714109825166215,0.7063420498948,0.710184345723784,0.712235030004749,0.709639126305793,0.708026058921471,0.736260846699974,0.720649895178197,0.727590221187427,0.724498129466126,0.753483082172306,0.71078431372549,0.749167591564928,0.737457292144338,0.725733293014817,0.721875005797247,0.72108843537415,0.740283240615991,0.749923477196204,0.749923477196204,0.746855957348349,0.742472283620926,0.723174811921017,0.788117611397393,0.759526938239159,0.765228037955311,0.793408605431797,0.737560745629941,0.766156557331909,0.772960956371852,0.761296660117878,0.783116538359437,0.794246911575166,0.814393685066227,0.810443296165352,0.798860398860399,0.787983255355824,0.788425092763551,0.814234016887817,0.789286674272952
"02144","Somerville","MA","Boston","Middlesex",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07214000229847,1.00644122383253,1.04873534855028,1.01719853097169,1.00644122383253,1.13004592700024,1.27064803049555,1.21270892566963,1.14122681883024,1.08446032151059,1.02579132473623,1.01674482934528,1.01723194680648,1.09271523178808
"11968","Southampton","NY","New York","Suffolk",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8461538461538,13.3333333333333,13.4672619047619,15.625,15,16.5562913907285,17.5903324509231,17.7598566308244,17,16.9704588309239,16.2277701778386,15.4194078947368,15.4320987654321,15,15.3846153846154,15,15,15.5668468045113,16.5876777251185,18.9704246548453,17.7430555555556,16.6666666666667,16.6666666666667,16.3056478405316,15.5731922398589,14.2619838633128,15.8679800177262,15.9680499925827,14.2064372918979
"11976","Water Mill","NY","New York","Suffolk",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9455161626694,17.2413793103448,17,19.1391941391941,17.5,16.961668641056,16.923337282112,14.9626865671642,14.6023056720898,15.3095893202894,17.1240601503759,15.4761904761905
